codigo_ibge,anomes_s,cadun_qtd_familias_atualizadas_i,cadun_qtd_familias_atualizadas_pobreza_pbf_i,cadun_qtd_familias_atualizadas_baixa_renda_i,cadun_qtd_familias_atualizadas_rfpc_ate_meio_sm_i,cadun_qtd_familias_atualizadas_rfpc_acima_meio_sm_i,cadun_qtd_familias_atualizadas_renda_zero_i,cadun_taxa_atualizacao_cadastral_d,cadun_taxa_atualizacao_cadastral_rfpc_ate_meio_sm_d
110001,201812,3056,,,2127,,102,87.04,85.28
110002,201812,8546,,,6439,,424,79.86,83.29
110003,201812,420,,,313,,18,70.0,72.79
110004,201812,7587,,,5190,,293,85.12,84.06
110005,201812,2063,,,1270,,6,89.85,88.74
110006,201812,1307,,,857,,21,77.65,81.85
110007,201812,797,,,642,,0,80.02,83.81
110008,201812,2715,,,2053,,17,94.79,94.17
110009,201812,3305,,,2217,,55,85.51,87.87
110010,201812,4894,,,3853,,52,81.68,80.91
110011,201812,4895,,,3470,,25,82.1,80.9
110012,201812,10415,,,6720,,97,80.65,80.56
110013,201812,3901,,,3100,,21,79.82,80.85
110014,201812,2872,,,2071,,54,82.22,84.49
110015,201812,3694,,,2064,,90,79.13,78.62
110018,201812,2574,,,1578,,82,81.4,82.4
110020,201812,54596,,,38440,,1825,79.57,80.81
110025,201812,4110,,,2720,,147,89.3,89.29
110026,201812,352,,,262,,17,81.48,79.63
110028,201812,4680,,,2983,,73,84.09,82.33
110029,201812,1036,,,582,,0,80.12,77.6
110030,201812,9965,,,6829,,557,87.12,90.12
110032,201812,2042,,,1427,,12,74.74,74.9
110033,201812,2454,,,1924,,16,69.16,67.96
110034,201812,2602,,,1779,,9,81.33,81.71
110037,201812,1189,,,946,,16,77.61,77.22
110040,201812,2059,,,1534,,34,73.95,74.93
110045,201812,3796,,,2984,,75,81.28,80.34
110050,201812,1356,,,1027,,8,83.6,85.29
110060,201812,572,,,411,,2,77.92,79.96
110070,201812,1256,,,961,,35,74.62,73.52
110080,201812,4851,,,3707,,55,88.21,90.9
110090,201812,333,,,256,,17,62.71,69.56
110092,201812,890,,,673,,82,81.57,81.18
110094,201812,2180,,,1729,,9,78.92,81.21
110100,201812,1313,,,1100,,7,79.23,79.88
110110,201812,1401,,,980,,22,86.58,86.04
110120,201812,965,,,750,,32,80.55,81.96
110130,201812,1872,,,1217,,82,77.32,80.27
110140,201812,1466,,,1065,,11,75.29,75.58
110143,201812,1049,,,733,,5,82.92,84.15
110145,201812,611,,,434,,6,71.37,77.36
110146,201812,372,,,251,,16,87.11,85.95
110147,201812,656,,,411,,51,89.86,89.15
110148,201812,393,,,243,,2,53.1,54.72
110149,201812,2321,,,1695,,16,83.66,83.95
110150,201812,1886,,,1348,,6,85.84,87.93
110155,201812,471,,,370,,21,76.09,77.24
110160,201812,1260,,,955,,11,86.36,88.42
110170,201812,1740,,,1063,,70,81.92,80.22
110175,201812,1134,,,860,,20,81.05,82.45
110180,201812,1089,,,749,,51,87.61,87.5
120001,201812,2674,,,2323,,250,89.1,90.03
120005,201812,1631,,,1489,,601,88.25,89.0
120010,201812,4594,,,3899,,119,90.25,89.46
120013,201812,1836,,,1731,,41,88.52,88.99
120017,201812,1844,,,1675,,230,89.16,89.76
120020,201812,12299,,,11569,,3092,88.73,89.01
120025,201812,2518,,,2073,,337,91.73,90.84
120030,201812,5455,,,5218,,1113,85.79,85.94
120032,201812,1377,,,1336,,593,86.11,87.2
120033,201812,3558,,,3364,,2657,90.55,91.09
120034,201812,2314,,,2002,,1283,93.49,93.07
120035,201812,3217,,,3100,,127,93.35,94.11
120038,201812,2310,,,2002,,127,89.12,88.34
120039,201812,1749,,,1651,,84,91.57,91.51
120040,201812,35134,,,31292,,6491,88.98,89.22
120042,201812,3038,,,2810,,300,93.88,94.29
120043,201812,1268,,,1183,,965,96.13,96.33
120045,201812,5283,,,4703,,3626,94.86,94.78
120050,201812,8043,,,7461,,759,92.25,92.84
120060,201812,8197,,,7643,,3968,93.05,93.27
120070,201812,2657,,,2318,,23,90.22,89.6
120080,201812,3688,,,3332,,303,88.67,88.85
130002,201812,2675,,,2469,,13,87.24,88.33
130006,201812,2208,,,1827,,9,95.58,96.56
130008,201812,2268,,,2079,,370,90.64,92.27
130010,201812,3638,,,3162,,12,94.91,96.02
130014,201812,2234,,,1840,,180,78.46,80.03
130020,201812,2114,,,1940,,1366,81.15,81.58
130030,201812,8291,,,7625,,735,88.85,89.09
130040,201812,3222,,,2750,,32,89.0,89.69
130050,201812,6652,,,5543,,155,90.78,89.89
130060,201812,6608,,,5763,,85,93.43,93.63
130063,201812,5538,,,5009,,821,93.65,94.52
130068,201812,3135,,,2792,,53,94.57,95.81
130070,201812,6726,,,5778,,150,90.43,91.94
130080,201812,5178,,,4655,,31,78.04,78.39
130083,201812,2334,,,2154,,16,93.28,93.97
130090,201812,2918,,,2612,,1873,87.23,86.95
130100,201812,6795,,,5924,,3982,92.43,91.9
130110,201812,7146,,,5951,,63,89.32,88.33
130115,201812,4765,,,4185,,185,89.7,89.88
130120,201812,10953,,,10121,,155,78.47,79.06
130130,201812,4847,,,3863,,11,96.63,96.07
130140,201812,6253,,,5880,,3251,94.87,94.94
130150,201812,2984,,,2786,,2363,83.63,82.99
130160,201812,4231,,,3689,,29,88.03,87.47
130165,201812,2598,,,2488,,1978,85.57,86.11
130170,201812,10063,,,8556,,3213,88.84,91.21
130180,201812,4150,,,3930,,650,94.92,95.15
130185,201812,15987,,,13186,,553,92.4,92.72
130190,201812,16303,,,13669,,158,89.82,90.32
130195,201812,2174,,,1754,,169,95.05,94.14
130200,201812,2189,,,1864,,48,91.24,92.82
130210,201812,736,,,682,,415,57.68,59.25
130220,201812,1712,,,1552,,73,82.58,82.11
130230,201812,3744,,,3380,,1291,90.69,91.12
130240,201812,10058,,,8476,,6497,92.61,93.43
130250,201812,23208,,,20394,,1430,92.27,92.2
130255,201812,3604,,,3270,,20,88.24,89.39
130260,201812,197798,,,166027,,1450,83.52,83.14
130270,201812,6974,,,5969,,128,83.3,82.51
130280,201812,3071,,,2881,,2077,89.4,89.83
130290,201812,11787,,,10513,,411,92.64,93.29
130300,201812,4186,,,3886,,38,91.79,92.52
130310,201812,4979,,,4454,,339,89.63,89.61
130320,201812,2790,,,2435,,98,86.05,86.28
130330,201812,4175,,,3502,,594,93.69,94.59
130340,201812,18257,,,16195,,311,86.17,86.56
130350,201812,3647,,,3312,,663,94.53,94.6
130353,201812,5961,,,5054,,192,94.06,94.55
130356,201812,4203,,,3662,,28,89.25,89.64
130360,201812,2199,,,1931,,511,71.55,72.67
130370,201812,5199,,,4778,,1614,93.08,95.17
130380,201812,5849,,,5567,,671,82.36,82.54
130390,201812,5252,,,4625,,258,90.5,90.12
130395,201812,2079,,,1822,,165,90.7,91.28
130400,201812,2498,,,2197,,41,96.07,96.99
130406,201812,8890,,,7806,,32,84.96,84.67
130410,201812,3502,,,3071,,14,87.83,88.12
130420,201812,10982,,,9486,,2933,88.3,87.64
130423,201812,3570,,,3239,,109,90.56,91.6
130426,201812,2539,,,2452,,592,90.67,91.35
130430,201812,3512,,,3091,,85,89.13,88.87
130440,201812,4321,,,3839,,375,94.3,95.09
140002,201812,1771,,,1558,,973,89.62,89.59
140005,201812,2084,,,1879,,55,69.39,67.98
140010,201812,39226,,,31312,,1079,74.9,75.96
140015,201812,2609,,,2368,,772,83.16,84.06
140017,201812,3318,,,2976,,268,91.3,92.36
