codigo_ibge,anomes_s,cadun_qtd_familias_atualizadas_i,cadun_qtd_familias_atualizadas_pobreza_pbf_i,cadun_qtd_familias_atualizadas_baixa_renda_i,cadun_qtd_familias_atualizadas_rfpc_ate_meio_sm_i,cadun_qtd_familias_atualizadas_rfpc_acima_meio_sm_i,cadun_qtd_familias_atualizadas_renda_zero_i,cadun_taxa_atualizacao_cadastral_d,cadun_taxa_atualizacao_cadastral_rfpc_ate_meio_sm_d
110001,202411,3401,1187,951,2138,1263,22,73.64,80.55
110002,202411,14730,6603,3419,10022,4708,2343,76.95,86.04
110003,202411,790,214,256,470,320,16,75.81,82.6
110004,202411,12317,4370,3167,7537,4780,1108,70.42,81.17
110005,202411,2410,962,571,1533,877,26,76.99,83.9
110006,202411,1871,384,535,919,952,25,89.6,90.54
110007,202411,1067,196,351,547,520,5,82.26,86.27
110008,202411,3111,1715,589,2304,807,7,80.95,89.47
110009,202411,3733,921,1443,2364,1369,110,70.92,82.57
110010,202411,7582,4397,1583,5980,1602,64,78.66,88.08
110011,202411,7675,2708,2161,4869,2806,749,74.97,82.39
110012,202411,17729,6638,4328,10966,6763,1180,76.41,85.54
110013,202411,6564,2013,1796,3809,2755,78,80.63,85.51
110014,202411,3523,1071,993,2064,1459,21,87.98,90.36
110015,202411,5705,2047,1520,3567,2138,508,81.45,89.44
110018,202411,4313,1173,1251,2424,1889,256,73.68,85.53
110020,202411,89330,46985,16476,63461,25869,6860,78.12,85.09
110025,202411,4564,1772,967,2739,1825,413,78.74,87.22
110026,202411,608,166,179,345,263,22,83.97,88.46
110028,202411,6722,1486,2286,3772,2950,128,71.74,81.24
110029,202411,1356,464,305,769,587,38,71.25,81.63
110030,202411,13414,3824,3637,7461,5953,405,73.77,83.54
110032,202411,2888,756,851,1607,1281,22,63.59,75.48
110033,202411,4358,2101,1117,3218,1140,266,73.98,80.85
110034,202411,2685,1133,645,1778,907,75,77.55,84.62
110037,202411,1219,192,459,651,568,6,75.1,75.96
110040,202411,3041,926,940,1866,1175,38,81.46,85.71
110045,202411,3619,1417,997,2414,1205,25,68.59,76.29
110050,202411,1427,358,434,792,635,5,73.59,80.32
110060,202411,867,231,239,470,397,23,73.85,81.31
110070,202411,1317,400,418,818,499,73,72.24,77.46
110080,202411,6155,3384,1073,4457,1698,48,80.74,88.74
110090,202411,542,208,140,348,194,32,70.94,83.45
110092,202411,1567,749,315,1064,503,151,79.18,89.86
110094,202411,2857,875,943,1818,1039,17,77.74,81.63
110100,202411,1754,728,508,1236,518,11,80.09,86.73
110110,202411,1830,571,614,1185,645,26,83.14,88.89
110120,202411,1243,545,274,819,424,15,76.11,85.93
110130,202411,2053,685,564,1249,804,12,69.05,83.48
110140,202411,2471,1149,552,1701,770,20,76.45,82.37
110143,202411,1326,641,267,908,418,38,76.82,84.3
110145,202411,818,310,201,511,307,1,70.33,87.35
110146,202411,621,218,121,339,282,5,82.25,88.05
110147,202411,865,261,170,431,434,56,88.17,94.31
