codigo_ibge,anomes_s,cadun_qtd_familias_atualizadas_i,cadun_qtd_familias_atualizadas_pobreza_pbf_i,cadun_qtd_familias_atualizadas_baixa_renda_i,cadun_qtd_familias_atualizadas_rfpc_ate_meio_sm_i,cadun_qtd_familias_atualizadas_rfpc_acima_meio_sm_i,cadun_qtd_familias_atualizadas_renda_zero_i,cadun_taxa_atualizacao_cadastral_d,cadun_taxa_atualizacao_cadastral_rfpc_ate_meio_sm_d
110001,201612,2198,1444,540,1984,214,129,69.68,72.22
110002,201612,7743,3425,2495,5920,1823,192,62.03,65.99
110003,201612,501,199,214,413,88,21,72.6,74.01
110004,201612,4971,1937,2123,4060,911,35,55.11,59.7
110005,201612,1023,612,252,864,159,7,60.56,62.83
110006,201612,1167,263,500,763,404,3,71.81,76.83
110007,201612,956,607,178,785,171,13,71.18,70.21
110008,201612,1955,1643,190,1833,122,15,83.94,85.65
110009,201612,2425,1151,667,1818,607,11,54.55,56.79
110010,201612,4170,2752,1000,3752,418,38,60.5,64.22
110011,201612,4082,2244,1338,3582,500,23,60.82,65.77
110012,201612,9167,3281,3604,6885,2282,146,63.22,66.23
110013,201612,3920,2208,1237,3445,475,43,74.73,81.4
110014,201612,2774,1690,633,2323,451,130,70.21,72.84
110015,201612,3017,737,1292,2029,988,76,63.89,69.27
110018,201612,2415,884,820,1704,711,86,63.93,66.45
110020,201612,42432,19257,12444,31701,10731,824,65.07,71.49
110025,201612,2868,1781,533,2314,554,33,70.6,74.16
110026,201612,328,232,68,300,28,11,53.94,55.97
110028,201612,3350,1177,1520,2697,653,17,56.99,62.12
110029,201612,806,393,194,587,219,2,63.01,62.11
110030,201612,6610,2708,2292,5000,1610,339,68.26,74.33
110032,201612,2116,959,685,1644,472,13,59.58,58.4
110033,201612,3069,1561,1127,2688,381,24,63.27,65.76
110034,201612,2385,1407,449,1856,529,26,72.2,73.41
110037,201612,1236,792,309,1101,135,4,68.4,72.38
