codigo_ibge,anomes_s,cadun_qtd_familias_atualizadas_i,cadun_qtd_familias_atualizadas_pobreza_pbf_i,cadun_qtd_familias_atualizadas_baixa_renda_i,cadun_qtd_familias_atualizadas_rfpc_ate_meio_sm_i,cadun_qtd_familias_atualizadas_rfpc_acima_meio_sm_i,cadun_qtd_familias_atualizadas_renda_zero_i,cadun_taxa_atualizacao_cadastral_d,cadun_taxa_atualizacao_cadastral_rfpc_ate_meio_sm_d
110001,202112,2399,,,1707,,,55.55,59.66
110002,202112,8921,,,6828,,,61.71,65.54
110003,202112,372,,,305,,,54.86,59.57
110004,202112,8882,,,6223,,,65.85,69.32
110005,202112,1370,,,1074,,,50.79,57.28
110006,202112,1206,,,782,,,67.56,71.35
110007,202112,818,,,616,,,58.3,68.75
110008,202112,2577,,,1992,,,68.7,72.88
110009,202112,2753,,,1764,,,57.12,58.17
110010,202112,5060,,,4117,,,59.46,65.31
110011,202112,4757,,,3380,,,60.23,63.29
110012,202112,9957,,,6470,,,58.11,62.39
110013,202112,3276,,,2228,,,55.55,54.7
110014,202112,2720,,,2016,,,64.74,70.98
110015,202112,3703,,,2513,,,59.88,66.42
110018,202112,2135,,,1348,,,51.73,55.4
110020,202112,43981,,,33526,,,52.07,54.51
110025,202112,3711,,,2722,,,65.25,71.59
110026,202112,351,,,272,,,60.62,66.18
110028,202112,4261,,,2707,,,54.91,57.14
110029,202112,1083,,,694,,,63.66,69.05
110030,202112,7493,,,4657,,,52.44,53.46
110032,202112,2253,,,1382,,,60.89,62.33
110033,202112,2095,,,1621,,,52.85,54.52
110034,202112,1574,,,1027,,,45.02,44.65
110037,202112,1025,,,768,,,57.51,59.58
110040,202112,1966,,,1534,,,60.9,66.23
110045,202112,2324,,,1616,,,44.68,43.35
110050,202112,1129,,,855,,,59.57,66.58
110060,202112,663,,,451,,,68.7,69.81
110070,202112,857,,,604,,,50.56,50.41
110080,202112,4114,,,3291,,,58.5,62.38
110090,202112,412,,,287,,,65.29,66.74
110092,202112,771,,,543,,,55.95,56.38
110094,202112,2113,,,1547,,,68.27,69.12
110100,202112,901,,,705,,,49.31,49.92
110110,202112,1239,,,937,,,64.46,68.84
110120,202112,848,,,676,,,60.57,64.62
110130,202112,2071,,,1303,,,67.67,73.74
110140,202112,1406,,,1076,,,58.95,64.27
110143,202112,782,,,600,,,54.04,58.76
110145,202112,686,,,376,,,67.18,62.56
110146,202112,423,,,310,,,80.26,84.01
110147,202112,400,,,276,,,48.78,52.87
110148,202112,779,,,369,,,75.85,74.39
110149,202112,2494,,,1684,,,70.29,71.75
110150,202112,1723,,,1064,,,58.09,56.32
110155,202112,539,,,387,,,63.93,64.93
110160,202112,799,,,605,,,51.25,53.39
110170,202112,1129,,,785,,,49.69,54.43
110175,202112,1290,,,948,,,66.01,70.37
110180,202112,944,,,769,,,59.93,69.84
120001,202112,2144,,,1789,,,59.5,61.47
120005,202112,1393,,,1346,,,68.01,72.17
120010,202112,2960,,,2752,,,52.28,57.21
120013,202112,1737,,,1602,,,70.46,73.96
120017,202112,1806,,,1605,,,64.73,66.68
120020,202112,9875,,,9300,,,60.69,62.16
120025,202112,1914,,,1709,,,55.67,61.43
120030,202112,4652,,,4388,,,68.94,70.17
120032,202112,1368,,,1341,,,72.84,74.91
120033,202112,3202,,,3032,,,71.72,72.88
120034,202112,2203,,,1966,,,74.83,77.64
120035,202112,3030,,,2911,,,73.99,75.47
120038,202112,1664,,,1465,,,56.63,58.88
120039,202112,1345,,,1299,,,62.93,65.14
120040,202112,31654,,,28252,,,61.95,64.66
120042,202112,3026,,,2866,,,81.89,83.87
120043,202112,1177,,,1081,,,72.69,75.48
120045,202112,3339,,,2988,,,51.73,53.98
120050,202112,7272,,,6935,,,72.58,75.61
120060,202112,7202,,,6878,,,70.99,74.1
120070,202112,2578,,,2411,,,72.7,78.66
120080,202112,3335,,,3092,,,69.42,72.42
130002,202112,2857,,,2634,,,81.37,83.77
130006,202112,2275,,,2009,,,83.76,89.2
130008,202112,2209,,,2046,,,77.37,81.57
130010,202112,2797,,,2544,,,67.6,73.27
130014,202112,2518,,,2036,,,66.17,69.34
130020,202112,2482,,,2257,,,77.9,79.52
130030,202112,8579,,,8144,,,71.65,74.62
130040,202112,4145,,,3459,,,92.15,93.05
130050,202112,5272,,,4853,,,65.07,71.5
130060,202112,6454,,,5919,,,78.23,83.88
130063,202112,4407,,,4054,,,63.31,65.51
130068,202112,3536,,,3113,,,84.93,88.89
130070,202112,5286,,,4620,,,65.5,69.97
130080,202112,5276,,,4827,,,66.15,69.01
130083,202112,2241,,,2101,,,75.07,79.25
130090,202112,3021,,,2862,,,77.28,82.45
130100,202112,5652,,,4909,,,67.47,69.49
130110,202112,4429,,,3740,,,49.96,52.08
130115,202112,3762,,,3521,,,69.88,76.17
130120,202112,5343,,,4703,,,37.01,37.1
130130,202112,5074,,,4080,,,83.0,87.08
130140,202112,6068,,,5421,,,79.63,81.86
130150,202112,2792,,,2724,,,70.71,73.36
130160,202112,4218,,,3841,,,72.39,76.94
130165,202112,2650,,,2516,,,78.17,79.14
130170,202112,7266,,,6362,,,57.6,62.66
130180,202112,2980,,,2934,,,64.54,66.92
130185,202112,12041,,,10343,,,58.92,61.72
130190,202112,12464,,,10477,,,60.68,63.38
130195,202112,2120,,,1764,,,79.04,80.54
130200,202112,2306,,,1964,,,75.68,78.56
130210,202112,513,,,458,,,36.53,36.46
130220,202112,1906,,,1643,,,73.39,75.43
130230,202112,4362,,,4023,,,82.67,87.57
130240,202112,9524,,,8491,,,70.01,76.69
130250,202112,17025,,,15346,,,60.94,64.19
130255,202112,4085,,,3587,,,79.18,81.0
130260,202112,103509,,,82039,,,36.59,35.69
130270,202112,7413,,,6469,,,69.88,73.96
130280,202112,2762,,,2652,,,72.72,76.07
130290,202112,11099,,,10384,,,73.56,78.57
130300,202112,4162,,,3873,,,79.08,81.98
130310,202112,5609,,,5062,,,77.93,81.05
130320,202112,2252,,,2000,,,60.6,64.49
130330,202112,3679,,,3214,,,73.83,80.18
130340,202112,17421,,,15715,,,66.0,69.23
130350,202112,3491,,,3248,,,82.16,84.84
130353,202112,6090,,,5249,,,71.87,76.86
130356,202112,3408,,,2947,,,59.46,61.87
130360,202112,2193,,,1865,,,67.04,68.46
130370,202112,3005,,,2470,,,50.66,48.66
