codigo_ibge,anomes_s,cadun_qtd_familias_atualizadas_i,cadun_qtd_familias_atualizadas_pobreza_pbf_i,cadun_qtd_familias_atualizadas_baixa_renda_i,cadun_qtd_familias_atualizadas_rfpc_ate_meio_sm_i,cadun_qtd_familias_atualizadas_rfpc_acima_meio_sm_i,cadun_qtd_familias_atualizadas_renda_zero_i,cadun_taxa_atualizacao_cadastral_d,cadun_taxa_atualizacao_cadastral_rfpc_ate_meio_sm_d
110001,202212,3266,,,2328,,,66.65,72.05
110002,202212,11825,,,9006,,,70.16,74.06
110003,202212,672,,,499,,,73.84,77.0
110004,202212,12909,,,9302,,,74.64,78.89
110005,202212,1855,,,1446,,,59.24,65.66
110006,202212,1338,,,855,,,75.89,79.31
110007,202212,1038,,,762,,,68.33,79.12
110008,202212,3390,,,2682,,,79.03,84.1
110009,202212,3660,,,2493,,,66.16,70.62
110010,202212,7401,,,6308,,,73.23,81.86
110011,202212,6607,,,4791,,,70.42,74.55
110012,202212,14568,,,10436,,,67.72,74.07
110013,202212,5612,,,4018,,,78.68,82.38
110014,202212,3397,,,2453,,,72.23,77.45
110015,202212,5209,,,3754,,,69.57,78.32
110018,202212,3774,,,2628,,,67.73,74.74
110020,202212,86267,,,69944,,,74.89,79.83
110025,202212,4371,,,3210,,,74.37,76.21
110026,202212,486,,,362,,,69.92,73.72
110028,202212,6003,,,4107,,,65.72,71.68
110029,202212,1284,,,862,,,67.08,73.67
110030,202212,10941,,,7317,,,63.58,67.84
110032,202212,3216,,,2023,,,70.63,74.32
110033,202212,4340,,,3388,,,74.46,78.22
110034,202212,2356,,,1695,,,60.83,64.96
110037,202212,1291,,,928,,,66.85,69.72
110040,202212,2570,,,1966,,,71.8,76.7
110045,202212,3496,,,2606,,,62.99,64.5
110050,202212,1402,,,970,,,66.92,71.32
110060,202212,826,,,556,,,72.58,75.44
110070,202212,1238,,,916,,,65.78,69.87
110080,202212,5646,,,4451,,,70.62,74.71
110090,202212,442,,,352,,,62.69,72.87
110092,202212,1101,,,821,,,66.76,70.95
110094,202212,2692,,,2023,,,78.32,80.02
110100,202212,1495,,,1235,,,69.11,72.99
110110,202212,1685,,,1253,,,76.73,80.52
110120,202212,1196,,,843,,,73.87,75.26
110130,202212,2233,,,1469,,,66.65,73.26
110140,202212,2297,,,1769,,,76.0,80.15
110143,202212,1544,,,1111,,,89.19,90.25
110145,202212,850,,,538,,,72.83,75.98
110146,202212,564,,,377,,,89.66,90.4
110147,202212,591,,,416,,,61.75,65.92
110148,202212,935,,,479,,,79.98,80.63
110149,202212,2834,,,2028,,,67.22,70.71
110150,202212,1959,,,1367,,,64.54,70.46
110155,202212,765,,,525,,,74.7,75.1
110160,202212,1230,,,916,,,70.04,72.98
110170,202212,1582,,,1114,,,61.99,68.09
110175,202212,2066,,,1479,,,79.0,83.13
110180,202212,1245,,,918,,,77.08,81.52
