codigo_ibge,anomes_s,cadun_qtd_familias_atualizadas_i,cadun_qtd_familias_atualizadas_pobreza_pbf_i,cadun_qtd_familias_atualizadas_baixa_renda_i,cadun_qtd_familias_atualizadas_rfpc_ate_meio_sm_i,cadun_qtd_familias_atualizadas_rfpc_acima_meio_sm_i,cadun_qtd_familias_atualizadas_renda_zero_i,cadun_taxa_atualizacao_cadastral_d,cadun_taxa_atualizacao_cadastral_rfpc_ate_meio_sm_d
110001,202312,3464,1230,1026,2256,1208,34,68.88,77.52
110002,202312,13985,5650,3954,9604,4381,953,72.34,81.36
110003,202312,754,213,259,472,282,14,75.85,79.86
110004,202312,13589,4971,3436,8407,5182,1279,73.26,82.91
110005,202312,2197,931,536,1467,730,17,66.96,76.68
110006,202312,1645,396,513,909,736,23,86.76,92.0
110007,202312,969,259,320,579,390,7,66.18,81.09
110008,202312,3320,1894,607,2501,819,13,74.53,84.01
110009,202312,3852,1185,1287,2472,1380,184,66.96,79.56
110010,202312,7946,4569,1716,6285,1661,128,75.57,85.77
110011,202312,7241,2482,2287,4769,2472,389,71.99,80.27
110012,202312,17273,6463,4577,11040,6233,964,72.68,83.83
110013,202312,6442,2140,1904,4044,2398,74,80.53,85.53
110014,202312,3699,1278,975,2253,1446,18,80.87,85.86
110015,202312,5796,2150,1585,3735,2061,514,73.11,86.0
110018,202312,4477,1337,1321,2658,1819,264,73.53,86.55
110020,202312,97680,53189,18098,71287,26393,6077,77.67,85.46
110025,202312,4553,2000,922,2922,1631,506,75.9,85.33
110026,202312,565,188,174,362,203,20,74.34,83.79
110028,202312,6674,1510,2443,3953,2721,88,68.07,79.72
110029,202312,1361,488,291,779,582,31,68.08,79.32
110030,202312,13018,3882,3823,7705,5313,327,67.42,79.22
110032,202312,3311,911,925,1836,1475,17,68.93,76.24
110033,202312,4851,2381,1213,3594,1257,179,79.26,84.44
110034,202312,2551,1113,658,1771,780,61,63.61,77.23
110037,202312,1240,337,452,789,451,12,66.88,72.25
110040,202312,2870,904,934,1838,1032,47,75.07,80.64
110045,202312,3729,1660,931,2591,1138,27,64.47,72.49
110050,202312,1442,361,454,815,627,6,67.44,73.88
110060,202312,861,255,250,505,356,17,71.86,80.15
