codigo_ibge,anomes_s,cadun_qtd_familias_atualizadas_i,cadun_qtd_familias_atualizadas_pobreza_pbf_i,cadun_qtd_familias_atualizadas_baixa_renda_i,cadun_qtd_familias_atualizadas_rfpc_ate_meio_sm_i,cadun_qtd_familias_atualizadas_rfpc_acima_meio_sm_i,cadun_qtd_familias_atualizadas_renda_zero_i,cadun_taxa_atualizacao_cadastral_d,cadun_taxa_atualizacao_cadastral_rfpc_ate_meio_sm_d
110001,201912,3238,,,2122,,114,82.89,82.98
110002,201912,9696,,,6764,,221,81.84,83.68
110003,201912,400,,,283,,28,65.25,66.58
110004,201912,9014,,,5704,,500,83.96,82.42
110005,201912,1931,,,1318,,7,76.08,82.42
110006,201912,1417,,,862,,44,80.97,82.25
110007,201912,1163,,,682,,2,87.64,83.99
110008,201912,3049,,,2179,,18,93.93,92.8
110009,201912,3694,,,2334,,133,86.87,86.99
110010,201912,6113,,,4452,,189,84.46,84.44
110011,201912,5238,,,3502,,29,79.47,78.71
110012,201912,11894,,,6576,,73,81.77,79.22
110013,201912,4148,,,2970,,24,78.93,78.98
110014,201912,2860,,,1942,,53,77.38,80.14
110015,201912,4170,,,2279,,199,80.05,78.96
110018,201912,2959,,,1650,,131,81.02,80.44
110020,201912,58561,,,41142,,1583,78.86,80.11
110025,201912,4104,,,2642,,93,83.58,84.43
110026,201912,400,,,262,,30,79.2,75.5
110028,201912,5266,,,3075,,87,80.1,78.84
110029,201912,1111,,,645,,4,77.8,81.03
110030,201912,11087,,,6603,,182,86.44,85.55
110032,201912,2247,,,1394,,17,75.6,75.14
110033,201912,2456,,,1906,,22,67.49,68.29
110034,201912,2780,,,1725,,11,81.26,79.56
110037,201912,1259,,,934,,22,77.66,77.31
110040,201912,2392,,,1688,,65,80.16,80.99
110045,201912,4149,,,2980,,69,81.48,78.98
110050,201912,1478,,,1012,,12,83.03,82.67
110060,201912,588,,,419,,9,76.86,80.26
110070,201912,1080,,,808,,47,64.82,65.85
110080,201912,5400,,,3975,,118,87.35,89.14
110090,201912,411,,,319,,49,73.92,82.64
110092,201912,908,,,638,,73,78.41,77.14
110094,201912,2107,,,1618,,9,75.7,78.77
110100,201912,1296,,,1039,,6,76.46,76.67
110110,201912,1455,,,997,,23,85.03,86.69
110120,201912,1042,,,769,,36,82.5,83.58
110130,201912,2092,,,1335,,79,78.64,81.5
110140,201912,1595,,,1079,,12,77.91,78.64
110143,201912,930,,,605,,4,70.56,69.14
110145,201912,501,,,361,,0,60.65,69.15
110146,201912,345,,,256,,10,77.87,83.93
110147,201912,645,,,387,,33,83.87,85.05
110148,201912,503,,,292,,5,61.64,65.61
110149,201912,2465,,,1683,,11,81.21,81.54
110150,201912,2222,,,1434,,19,83.94,83.81
110155,201912,548,,,384,,46,79.65,78.36
110160,201912,1229,,,905,,7,84.58,86.93
110170,201912,1733,,,993,,74,78.7,75.22
110175,201912,1468,,,1002,,17,87.53,86.9
110180,201912,1146,,,752,,100,85.26,84.3
120001,201912,2711,,,2258,,158,85.3,87.08
120005,201912,1724,,,1577,,623,87.73,89.04
120010,201912,4309,,,3761,,209,81.08,84.53
120013,201912,1897,,,1688,,32,85.83,85.81
120017,201912,2154,,,1931,,284,86.4,87.57
120020,201912,13209,,,12185,,4962,87.61,88.22
120025,201912,2558,,,2078,,276,82.46,83.82
120030,201912,5762,,,5368,,678,87.5,87.88
120032,201912,1413,,,1357,,754,84.81,86.1
120033,201912,3351,,,3176,,2554,81.89,82.94
120034,201912,2489,,,2128,,1395,94.2,95.08
120035,201912,3199,,,3058,,79,87.88,89.02
120038,201912,2282,,,1947,,119,83.28,83.06
120039,201912,1855,,,1722,,190,92.51,92.43
120040,201912,37814,,,32422,,7728,85.65,86.0
120042,201912,3079,,,2834,,497,91.52,92.7
120043,201912,1251,,,1147,,989,90.19,90.88
120045,201912,5369,,,4732,,3815,87.34,88.76
120050,201912,8496,,,7810,,1371,90.56,91.59
120060,201912,8915,,,8234,,5384,92.1,92.99
120070,201912,2812,,,2433,,45,89.18,89.41
120080,201912,3457,,,3134,,388,80.9,82.47
130002,201912,2635,,,2354,,15,85.35,85.5
130006,201912,2230,,,1847,,3,92.95,94.09
130008,201912,2324,,,2107,,338,88.06,90.39
130010,201912,3529,,,3024,,15,88.46,91.02
130014,201912,2557,,,1967,,207,81.82,82.4
130020,201912,2190,,,2003,,1520,80.36,81.19
130030,201912,8460,,,7782,,675,84.68,85.89
130040,201912,2932,,,2445,,24,76.81,77.25
130050,201912,6216,,,5358,,76,80.81,83.47
130060,201912,6358,,,5657,,59,83.62,86.85
130063,201912,5567,,,5073,,463,87.83,89.8
130068,201912,3583,,,3043,,167,95.36,95.99
130070,201912,6485,,,5409,,69,85.47,87.19
130080,201912,5653,,,5020,,30,82.2,83.45
130083,201912,2492,,,2241,,18,90.28,91.39
130090,201912,2949,,,2641,,1848,85.01,85.94
130100,201912,7065,,,6085,,4811,88.1,89.09
130110,201912,7208,,,5906,,66,83.49,83.67
130115,201912,4493,,,3915,,131,83.52,84.81
130120,201912,11788,,,10312,,199,81.77,81.26
130130,201912,4768,,,3733,,11,90.04,91.67
130140,201912,6757,,,5989,,3466,93.79,93.66
130150,201912,3197,,,3003,,2617,86.59,86.76
130160,201912,4308,,,3741,,38,84.85,85.88
130165,201912,2815,,,2657,,2204,86.29,86.77
130170,201912,10017,,,8268,,2019,84.14,87.62
130180,201912,4061,,,3984,,949,90.0,93.32
130185,201912,16104,,,13347,,267,86.67,88.27
130190,201912,16718,,,13487,,101,87.25,87.71
130195,201912,2273,,,1915,,332,92.02,94.75
130200,201912,2368,,,2005,,29,90.93,93.21
130210,201912,843,,,777,,449,65.6,67.56
130220,201912,1922,,,1658,,140,83.13,83.02
130230,201912,4024,,,3496,,1443,88.11,88.08
130240,201912,10876,,,8941,,7319,89.79,91.35
130250,201912,22083,,,18927,,379,83.58,83.74
130255,201912,3769,,,3320,,13,86.38,87.5
130260,201912,221660,,,179308,,1421,83.27,83.18
130270,201912,8000,,,6701,,86,86.67,87.62
130280,201912,3089,,,2857,,2079,87.3,88.26
130290,201912,11317,,,9860,,333,84.86,85.89
130300,201912,4277,,,3951,,31,89.73,91.6
130310,201912,5640,,,4963,,397,91.75,92.57
130320,201912,2966,,,2505,,86,84.76,85.64
130330,201912,4286,,,3502,,345,92.05,93.46
130340,201912,20723,,,17963,,284,87.7,88.54
130350,201912,3631,,,3290,,690,91.92,92.49
130353,201912,6755,,,5443,,482,91.28,91.84
130356,201912,4433,,,3687,,35,84.68,84.89
130360,201912,2497,,,2201,,636,81.94,84.13
130370,201912,5241,,,4645,,433,90.76,92.78
130380,201912,5450,,,5073,,924,76.83,77.15
130390,201912,5225,,,4632,,316,87.4,88.06
130395,201912,2045,,,1774,,164,87.5,89.19
130400,201912,2385,,,2115,,35,87.04,90.19
130406,201912,9224,,,7767,,46,82.91,82.79
130410,201912,3775,,,3180,,21,90.28,89.72
130420,201912,11714,,,9915,,2872,85.74,86.85
130423,201912,3855,,,3417,,49,90.04,91.09
130426,201912,2602,,,2457,,245,91.74,92.92
130430,201912,3792,,,3290,,82,90.02,90.13
130440,201912,4227,,,3678,,351,87.2,88.58
140002,201912,1967,,,1716,,1102,88.56,89.88
140005,201912,2885,,,2547,,17,87.16,87.25
140010,201912,45311,,,35911,,1577,82.09,83.31
140015,201912,3149,,,2704,,1004,83.48,84.31
140017,201912,3933,,,3473,,1108,88.54,89.62
140020,201912,4517,,,3950,,1527,84.52,86.58
140023,201912,2114,,,1742,,104,85.83,86.83
140028,201912,1712,,,1458,,73,81.83,82.79
140030,201912,4746,,,4257,,47,89.76,91.35
140040,201912,2397,,,2222,,1527,94.74,96.27
140045,201912,2012,,,1740,,14,77.38,79.7
140047,201912,4945,,,4310,,1224,78.09,81.29
140050,201912,1223,,,1050,,45,84.87,87.57
140060,201912,1485,,,1275,,350,88.39,90.23
140070,201912,1689,,,1640,,1302,87.46,88.17
150010,201912,38984,,,35384,,550,84.9,85.38
150013,201912,1653,,,1384,,642,82.77,85.27
150020,201912,11474,,,10628,,175,79.5,79.61
150030,201912,7191,,,6731,,28,80.93,83.34
150034,201912,3613,,,3042,,459,84.89,87.26
150040,201912,14510,,,13001,,113,87.18,89.44
150050,201912,6161,,,5703,,2900,87.77,89.02
150060,201912,18823,,,15161,,3124,85.34,85.64
150070,201912,5917,,,5246,,1320,87.95,89.26
150080,201912,75321,,,62856,,340,78.83,79.18
150085,201912,6558,,,6071,,782,86.26,88.2
150090,201912,7672,,,7241,,251,77.6,77.97
150095,201912,4902,,,4356,,154,86.79,88.46
150100,201912,2332,,,2112,,64,80.41,82.59
150110,201912,3949,,,3698,,470,89.04,89.23
150120,201912,6697,,,6382,,39,83.56,83.81
150125,201912,513,,,362,,94,68.12,66.17
150130,201912,17976,,,15676,,84,79.17,80.08
150140,201912,203447,,,170802,,3142,81.83,81.7
150145,201912,3580,,,3068,,11,81.75,83.39
150150,201912,13853,,,12033,,1196,86.18,85.82
150157,201912,3045,,,2465,,331,86.8,87.5
150160,201912,2476,,,2324,,9,81.55,82.61
150170,201912,18921,,,16954,,724,76.42,79.01
150172,201912,4175,,,3376,,385,86.88,88.0
150175,201912,1286,,,1079,,130,79.87,80.1
150178,201912,8445,,,7178,,23,80.03,82.44
150180,201912,18597,,,17003,,147,83.46,84.04
150190,201912,5613,,,5229,,1098,82.98,83.34
150195,201912,4610,,,4413,,50,88.04,88.9
150200,201912,4249,,,3929,,99,72.44,73.28
150210,201912,19887,,,18550,,64,76.3,76.46
150215,201912,6391,,,5539,,437,83.41,85.04
150220,201912,10675,,,9318,,177,86.73,86.73
150230,201912,10178,,,9157,,30,81.37,84.39
150240,201912,25818,,,21469,,864,79.56,80.71
150250,201912,3357,,,3157,,99,79.94,80.16
150260,201912,2361,,,2119,,103,85.17,84.79
150270,201912,7121,,,5028,,69,80.61,81.64
150275,201912,5698,,,5276,,1136,83.13,84.2
150276,201912,1865,,,1616,,194,80.45,82.15
150277,201912,4685,,,3831,,24,88.61,90.43
150280,201912,6057,,,5856,,980,89.03,89.22
150285,201912,3033,,,2707,,25,91.41,93.05
150290,201912,8369,,,7639,,544,78.68,79.53
150293,201912,7068,,,5647,,154,73.81,79.37
150295,201912,6683,,,4826,,52,83.34,84.68
150300,201912,2150,,,1976,,1255,89.92,92.55
150304,201912,3334,,,2736,,68,80.2,80.99
150307,201912,5341,,,4973,,21,86.07,87.15
150309,201912,5503,,,4409,,211,87.76,88.1
150310,201912,6536,,,6269,,3315,89.05,89.87
150320,201912,7940,,,7310,,470,83.28,84.25
150330,201912,11357,,,10531,,717,80.2,80.99
150340,201912,2204,,,1961,,69,85.49,86.27
150345,201912,6507,,,6003,,139,80.07,82.15
150350,201912,8370,,,7763,,33,91.67,92.91
150360,201912,20217,,,16643,,184,82.96,85.77
150370,201912,9116,,,7557,,85,84.49,85.57
150375,201912,2892,,,2698,,7,82.67,85.59
150380,201912,9804,,,8205,,404,87.42,89.34
150390,201912,6718,,,6066,,16,82.72,83.63
150400,201912,5877,,,5677,,68,91.17,91.99
150405,201912,8415,,,7470,,21,90.28,91.78
150410,201912,1577,,,1357,,9,81.45,83.3
150420,201912,33637,,,25615,,528,81.01,81.22
150430,201912,6922,,,6296,,38,81.45,81.33
150440,201912,4537,,,4134,,20,80.37,80.36
150442,201912,21361,,,17472,,1498,81.73,81.7
150445,201912,5521,,,4907,,1475,86.53,87.73
150450,201912,4341,,,4073,,43,85.48,86.45
150460,201912,6665,,,6128,,1286,78.61,79.16
150470,201912,19568,,,17344,,254,89.77,89.48
150475,201912,4171,,,3643,,68,85.27,86.04
150480,201912,11383,,,10414,,31,82.56,84.54
150490,201912,7457,,,6878,,32,88.87,89.23
150495,201912,4015,,,3840,,928,76.17,76.19
150497,201912,2503,,,2014,,45,84.58,85.41
150500,201912,2709,,,2419,,161,81.91,82.78
