codigo_ibge,anomes_s,cadun_qtd_familias_atualizadas_i,cadun_qtd_familias_atualizadas_pobreza_pbf_i,cadun_qtd_familias_atualizadas_baixa_renda_i,cadun_qtd_familias_atualizadas_rfpc_ate_meio_sm_i,cadun_qtd_familias_atualizadas_rfpc_acima_meio_sm_i,cadun_qtd_familias_atualizadas_renda_zero_i,cadun_taxa_atualizacao_cadastral_d,cadun_taxa_atualizacao_cadastral_rfpc_ate_meio_sm_d
110001,201712,2447,1420,541,1961,486,124,74.42,72.92
110002,201712,7773,4028,1944,5972,1801,565,67.37,69.61
110003,201712,483,193,153,346,137,18,71.02,67.05
110004,201712,5611,2397,1969,4366,1245,89,67.56,68.06
110005,201712,1571,633,427,1060,511,12,74.91,72.7
110006,201712,1326,369,495,864,462,4,79.59,80.97
110007,201712,946,539,208,747,199,8,75.98,74.03
110008,201712,2023,1729,141,1870,153,9,84.64,86.29
110009,201712,2713,1394,654,2048,665,13,65.64,67.81
110010,201712,4258,2584,961,3545,713,41,70.5,69.85
110011,201712,4328,1991,1461,3452,876,15,67.1,67.8
110012,201712,10081,3110,4012,7122,2959,154,72.21,69.52
110013,201712,3885,2069,1237,3306,579,35,72.67,75.17
110014,201712,2755,1519,613,2132,623,99,75.45,75.73
110015,201712,3332,913,1253,2166,1166,81,70.42,70.16
110018,201712,2453,877,783,1660,793,73,70.81,71.52
110020,201712,48822,22358,13008,35366,13456,1201,73.68,75.42
110025,201712,3553,1965,636,2601,952,131,81.43,81.84
110026,201712,328,210,79,289,39,10,63.93,64.79
110028,201712,4107,1433,1512,2945,1162,45,68.79,69.35
110029,201712,935,429,173,602,333,2,72.42,69.43
110030,201712,7648,3640,2220,5860,1788,886,73.9,78.07
110032,201712,2166,964,629,1593,573,6,67.16,64.2
110033,201712,2574,1345,743,2088,486,13,58.65,56.95
110034,201712,2531,1470,422,1892,639,8,76.34,75.19
110037,201712,1129,726,215,941,188,14,67.0,67.21
110040,201712,1965,938,605,1543,422,41,65.8,66.45
110045,201712,3040,2064,722,2786,254,49,65.32,70.42
110050,201712,1186,666,300,966,220,10,73.61,75.76
110060,201712,587,229,219,448,139,2,74.11,75.8
110070,201712,1363,640,443,1083,280,23,71.47,68.84
110080,201712,3717,2236,755,2991,726,88,78.6,80.01
110090,201712,415,220,77,297,118,21,65.14,66.89
110092,201712,832,513,200,713,119,82,71.41,73.05
110094,201712,2103,1128,554,1682,421,10,67.59,67.9
110100,201712,1388,939,287,1226,162,11,72.78,74.25
110110,201712,1218,544,396,940,278,16,78.22,76.98
110120,201712,918,419,322,741,177,17,62.44,66.87
110130,201712,1481,692,334,1026,455,111,62.48,63.96
110140,201712,1481,608,520,1128,353,8,67.5,67.5
110143,201712,951,450,259,709,242,3,67.88,69.78
110145,201712,805,282,241,523,282,3,80.01,78.88
110146,201712,334,155,77,232,102,18,80.48,77.07
110147,201712,477,204,123,327,150,30,74.18,75.0
110148,201712,647,119,239,358,289,1,63.99,58.88
110149,201712,1925,1006,433,1439,486,13,65.27,66.28
110150,201712,1488,884,319,1203,285,4,70.12,71.6
110155,201712,467,238,144,382,85,37,64.5,64.09
110160,201712,1060,535,330,865,195,8,65.51,68.05
110170,201712,1478,806,257,1063,415,41,64.76,65.45
110175,201712,874,542,197,739,135,20,59.94,64.2
110180,201712,810,484,165,649,161,35,70.31,71.55
120001,201712,2295,1661,382,2043,252,101,81.99,83.72
