codigo_ibge,anomes_s,cadun_qtd_familias_atualizadas_i,cadun_qtd_familias_atualizadas_pobreza_pbf_i,cadun_qtd_familias_atualizadas_baixa_renda_i,cadun_qtd_familias_atualizadas_rfpc_ate_meio_sm_i,cadun_qtd_familias_atualizadas_rfpc_acima_meio_sm_i,cadun_qtd_familias_atualizadas_renda_zero_i,cadun_taxa_atualizacao_cadastral_d,cadun_taxa_atualizacao_cadastral_rfpc_ate_meio_sm_d
110001,202012,2625,,,1785,,,67.6,69.07
110002,202012,10005,,,7232,,,78.94,79.69
110003,202012,350,,,258,,,61.51,61.42
110004,202012,8576,,,5682,,,75.11,75.11
110005,202012,1584,,,1205,,,64.39,71.13
110006,202012,1416,,,866,,,82.03,82.16
110007,202012,1064,,,648,,,88.07,85.03
110008,202012,2506,,,1966,,,76.49,81.57
110009,202012,3274,,,2177,,,76.83,79.53
110010,202012,5941,,,4310,,,75.95,75.72
110011,202012,4950,,,3324,,,71.21,71.56
110012,202012,11573,,,6651,,,74.77,73.5
110013,202012,3668,,,2435,,,70.61,67.47
110014,202012,2695,,,1921,,,70.45,72.87
110015,202012,4132,,,2592,,,73.51,77.95
110018,202012,2611,,,1492,,,70.18,70.54
110020,202012,48488,,,35117,,,66.37,66.9
110025,202012,3808,,,2662,,,74.17,77.67
110026,202012,370,,,274,,,71.42,74.25
110028,202012,4676,,,2678,,,69.65,67.67
110029,202012,1123,,,674,,,74.22,77.11
110030,202012,8842,,,5204,,,71.38,69.2
110032,202012,2245,,,1287,,,71.47,69.0
110033,202012,2198,,,1658,,,62.96,63.16
110034,202012,2080,,,1333,,,63.58,61.48
110037,202012,1175,,,890,,,72.62,73.98
110040,202012,1915,,,1409,,,67.02,68.63
110045,202012,3021,,,2177,,,62.19,61.42
110050,202012,1326,,,954,,,73.38,75.17
110060,202012,681,,,463,,,79.64,79.28
110070,202012,833,,,577,,,55.57,53.08
110080,202012,4755,,,3618,,,75.58,76.78
110090,202012,452,,,315,,,77.66,79.94
110092,202012,720,,,496,,,62.71,61.08
110094,202012,1902,,,1427,,,69.79,70.57
110100,202012,1110,,,896,,,66.34,67.57
110110,202012,1274,,,935,,,74.94,78.3
110120,202012,928,,,718,,,72.04,73.71
110130,202012,2061,,,1333,,,75.54,79.91
110140,202012,1375,,,953,,,67.5,69.0
110143,202012,845,,,600,,,63.82,65.0
110145,202012,596,,,347,,,69.14,67.11
110146,202012,364,,,269,,,80.17,85.12
110147,202012,476,,,307,,,63.29,64.63
110148,202012,561,,,339,,,77.7,79.76
